,TotalT,Temp,LSR,CA,Size,Mass,Moisture,IsoT,HeatT,Ramp,F_A,F_Gal,F_Glu,F_X,F_M,F_R,A,Gal,Glu,X,M,R,Furf,HMF,Source,Yield
168,15.374278186607091,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,4.124278186607094,11.25,8.0,,,,18.863636363636367,,,,,,6.1662198391421,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.2615071546238577
169,22.01260830142266,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,10.762608301422661,11.25,8.0,,,,18.863636363636367,,,,,,8.36997319034853,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.3549675377111665
170,27.936772597994818,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,16.68677259799482,11.25,8.0,,,,18.863636363636367,,,,,,11.394101876675599,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.4832197422397362
171,34.74758493514068,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,23.497584935140683,11.25,8.0,,,,18.863636363636367,,,,,,13.806970509383302,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.5855486288316774
172,41.39532744953772,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,30.14532744953772,11.25,8.0,,,,18.863636363636367,,,,,,15.367292225201002,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.6517213088278014
173,47.172893622628614,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,35.922893622628614,11.25,8.0,,,,18.863636363636367,,,,,,16.4128686327077,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.6960638263509771
174,52.95516599551026,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,41.70516599551026,11.25,8.0,,,,18.863636363636367,,,,,,17.1367292225201,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7267624923285632
175,59.61820365922715,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,48.36820365922715,11.25,8.0,,,,18.863636363636367,,,,,,17.651474530831102,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7485926548015117
176,65.40777064178442,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,54.15777064178442,11.25,8.0,,,,18.863636363636367,,,,,,17.8766756032171,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.758143350883424
177,74.534503895949,115.0,8.0,0.20393596410727036,8.0,16.67,20.0,63.284503895949,11.25,8.0,,,,18.863636363636367,,,,,,17.9731903485254,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7622365063471012
